psraid,sample,form,int_date,lang,state,cregion,density,usr,pial1a,pial1b,pial2a,pial2b,pial2c,pial2d,pial2e,pial3a,pial3b,pial3c,pial3d,pial4a,pial4b,pial4c,pial5,relig,chr,born,attend,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,ideo,raceos,pial5os,religos,zipcode,weight,standwt
100144,1,2,21314,1,32,4,1,S, ,2,2,1,3,4,3,1,2,2,2,1,1,2,98,1, ,1,5,1, , ,3,3,2,1,65,8,2,1,7,4,1,3,9,8, , , ,89502,1.3,.398340884045549
100145,1,1,21514,1,22,3,2,S,2, ,2,2,4,4,4,2,2,2,2,2,2,2,97,1, ,1,5,1, , ,2,3,2,2,64,4,2,1,4,2,1,1, ,2, , , ,70744,2.86666666666667,.878392718664544
100147,1,2,21314,1,34,1,5,S, ,2,1,2,2,4,3,1,2,2,2,2,2,1,2,2, ,1,3,1, , ,2,1,1,2,44,6,1,9,8,4,1,3,9,1, , , ,07002,4.06666666666667,1.24609199624505
100150,1,2,21314,1,12,3,2,U, ,8,2,2,3,3,2,1,2,2,2,2,2,2,98,1, ,1,2,1, , ,2,3,2,1,79,8,2,1,7,4,1,3,1,2, , , ,32608,1.3,.398340884045549
100152,1,1,21314,1,51,3,1,R,9, ,3,2,2,3,2,2,8,8,2,2,1,1,98,1, ,1,5,1, , ,1,3,2,2,73,3,2,1,2,1,1,4,9,3, , , ,24216,1.46666666666667,.449410228153953
100153,1,1,21314,1,36,1,2,R,1, ,1,4,3,4,4,2,3,2,3,2,1,1,98,99,1,1,3,1, , ,2,1,2,2,62,4,2,1,6,3,1,4,9,2, , , ,14063,2.5,.766040161626056
100154,1,1,21314,1,42,1,3,S,1, ,4,8,2,4,2,2,8,2,2,2,1,2,98,2, ,2,3,1, , ,2,3,2,2,70,5,2,1,3,1,1,1, ,1, , , ,15068,1.93333333333333,.592404391657483
100155,1,2,21314,1,36,1,5,U, ,2,2,2,2,2,2,1,1,1,1,2,1,2,1,4, ,2,1,1, , ,2,3,2,2,62,3,2,1,99,9,1,1, ,1, , , ,10024,4.43333333333333,1.35844455328354
100165,1,1,21714,1,27,2,5,R,2, ,2,2,3,3,3,2,2,2,2,2,2,2,97,1, ,2,3,2,1, ,3,3,2,2,81,3,2,1,7,4,1,2, ,3, , , ,55331,7.26666666666667,2.2266234031264
100167,1,1,21314,1,24,3,4,S,1, ,3,2,2,4,3,3,2,2,2,2,2,2,2,1, ,2,4,1, , ,1,3,2,2,99,2,9,9,99,9,1,2, ,5, , , ,20706,1.66666666666667,.510693441084037
100169,1,1,21314,1,33,1,1,R,2, ,2,2,2,3,2,2,2,1,1,2,2,2,98,2, ,2,6,1, , ,1,3,2,2,71,3,2,1,3,1,1,3,9,2, , , ,03561,1.26666666666667,.388127015223868
100174,1,2,21314,1,18,2,1,S, ,1,2,8,3,2,8,1,2,2,2,2,1,2,97,1, ,1,5,1, , ,3,3,2,2,60,3,2,1,99,9,3,3,9,8, , , ,46172,4.1,1.25630586506673
100175,1,1,21314,1,18,2,1,R,2, ,4,4,4,4,4,2,1,2,2,1,2,2,98,1, ,2,2,1, , ,2,3,2,1,73,8,2,1,5,2,1,2, ,3, , , ,47274,1.13333333333333,.347271539937145
100179,1,2,21314,1,51,3,2,S, ,2,2,8,2,4,2,2,2,2,2,8,1,2,4,1, ,1,2,1, , ,1,3,2,2,83,3,2,1,3,1,1,9,9,3, , , ,24347,1.5,.459624096975634
100180,1,2,21414,1,45,3,3,S, ,2,4,3,4,4,4,2,2,2,2,2,2,2,98,1, ,2,3,1, , ,2,1,1,1,34,8,2,1,8,4,1,3,2,3, , , ,29681,4.8,1.47079711032203
