Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
70,Nic Claxton,BRK,"$25,352,272 ","$23,147,727 ","$20,943,184 ",,,,"$69,443,183 "
71,Trey Murphy III,NOP,"$25,000,000 ","$27,000,000 ","$29,000,000 ","$31,000,000 ",,,"$112,000,000 "
72,Miles Bridges,CHO,"$25,000,000 ","$22,826,087 ",,,,,"$47,826,087 "
73,Mikal Bridges,NYK,"$24,900,000 ",,,,,,"$24,900,000 "
74,Jaden McDaniels,MIN,"$24,858,622 ","$26,700,001 ","$28,541,380 ","$30,382,755 ",,,"$110,482,758 "
75,DeMar DeRozan,SAC,"$24,570,000 ","$25,740,000 ",,,,,"$24,570,000 "
76,De'Andre Hunter,CLE,"$23,303,571 ","$24,910,714 ",,,,,"$48,214,285 "
77,Aaron Gordon,DEN,"$22,841,455 ","$31,978,037 ","$34,536,280 ","$37,094,523 ",,,"$89,355,772 "
78,Kyle Kuzma,MIL,"$22,410,605 ","$20,345,152 ",,,,,"$42,755,757 "
79,Kentavious Caldwell-Pope,MEM,"$21,621,500 ","$21,621,500 ",,,,,"$21,621,500 "
80,Marcus Smart,WAS,"$21,586,855 ",,,,,,"$21,586,855 "
81,Nikola Vučević,CHI,"$21,481,481 ",,,,,,"$21,481,481 "
82,Dillon Brooks,PHO,"$21,124,110 ","$19,992,727 ",,,,,"$41,116,837 "
83,Cameron Johnson,DEN,"$20,543,478 ","$22,500,000 ",,,,,"$43,043,478 "
84,Norman Powell,MIA,"$20,482,758 ",,,,,,"$20,482,758 "
85,Jarrett Allen,CLE,"$20,000,000 ","$28,000,000 ","$30,240,000 ","$32,480,000 ",,,"$110,720,000 "
86,Jakob Poeltl,TOR,"$19,500,000 ","$19,500,000 ",,,,,"$39,000,000 "
87,Josh Hart,NYK,"$19,472,240 ","$20,923,760 ","$22,375,280 ",,,,"$40,396,000 "
88,Jusuf Nurkić,CHO,"$19,375,000 ",,,,,,"$19,375,000 "
89,Collin Sexton,UTA,"$19,175,000 ",,,,,,"$19,175,000 "
90,Harrison Barnes,SAS,"$19,000,000 ",,,,,,"$19,000,000 "
91,Malik Monk,SAC,"$18,797,619 ","$20,190,035 ","$21,582,451 ",,,,"$38,987,654 "
92,Rui Hachimura,LAL,"$18,259,259 ",,,,,,"$18,259,259 "
93,Alex Caruso,OKC,"$18,102,000 ","$19,550,160 ","$20,998,320 ","$22,446,480 ",,,"$81,096,960 "
94,Ivica Zubac,LAC,"$18,102,000 ","$19,550,160 ","$20,998,320 ",,,,"$58,650,480 "
95,Andrew Nembhard,IND,"$18,102,000 ","$19,550,160 ","$20,998,320 ",,,,"$58,650,480 "
96,Zach Collins,CHI,"$18,080,496 ",,,,,,"$18,080,496 "
97,Patrick Williams,CHI,"$18,000,000 ","$18,000,000 ","$18,000,000 ","$18,000,000 ",,,"$54,000,000 "
98,Kevin Huerter,CHI,"$17,991,071 ",,,,,,"$17,991,071 "
99,Luguentz Dort,OKC,"$17,722,222 ","$17,722,222 ",,,,,"$17,722,222 "
100,Keldon Johnson,SAS,"$17,500,000 ","$17,500,000 ",,,,,"$35,000,000 "
101,Grayson Allen,PHO,"$16,875,000 ","$18,125,000 ","$19,375,000 ",,,,"$35,000,000 "
102,Klay Thompson,DAL,"$16,666,667 ","$17,460,317 ",,,,,"$34,126,984 "
103,Bogdan Bogdanović,LAC,"$16,020,000 ","$16,020,000 ",,,,,"$16,020,000 "
104,Max Strus,CLE,"$15,936,452 ","$16,660,836 ",,,,,"$32,597,288 "
105,Terance Mann,BRK,"$15,500,000 ","$15,500,000 ","$16,000,000 ",,,,"$47,000,000 "
106,Paolo Banchero,ORL,"$15,334,769 ",,,,,,"$15,334,769 "
107,Onyeka Okongwu,ATL,"$15,000,000 ","$16,120,000 ","$16,880,000 ",,,,"$48,000,000 "
108,Jonathan Isaac,ORL,"$15,000,000 ","$14,500,000 ","$14,500,000 ","$15,000,000 ",,,"$44,000,000 "
109,Isaiah Stewart,DET,"$15,000,000 ","$15,000,000 ","$15,000,000 ",,,,"$30,000,000 "
110,Daniel Gafford,DAL,"$14,386,320 ",,,,,,"$14,386,320 "
111,Deni Avdija,POR,"$14,375,000 ","$13,125,000 ","$11,875,000 ",,,,"$39,375,000 "
112,Jordan Clarkson,UTA,"$14,285,714 ",,,,,,"$14,285,714 "
113,P.J. Washington,DAL,"$14,152,174 ",,,,,,"$14,152,174 "
114,Obi Toppin,IND,"$14,000,000 ","$15,000,000 ","$16,025,000 ",,,,"$45,025,000 "
115,Corey Kispert,WAS,"$13,975,000 ","$13,975,000 ","$13,050,000 ","$13,050,000 ",,,"$41,000,000 "
116,Herbert Jones,NOP,"$13,937,574 ","$14,898,786 ",,,,,"$28,836,360 "
117,Austin Reaves,LAL,"$13,937,574 ","$14,898,786 ",,,,,"$13,937,574 "
118,Cooper Flagg,DAL,"$13,825,920 ","$14,517,480 ","$15,208,680 ","$19,178,146 ",,,"$28,343,400 "
119,Chet Holmgren,OKC,"$13,731,368 ",,,,,,"$13,731,368 "
120,Josh Green,CHO,"$13,666,667 ","$14,679,012 ",,,,,"$28,345,679 "
121,Grant Williams,CHO,"$13,645,500 ","$14,265,750 ",,,,,"$27,911,250 "
122,Kelly Olynyk,SAS,"$13,445,122 ",,,,,,"$13,445,122 "
123,Victor Wembanyama,SAS,"$13,376,880 ","$16,868,246 ",,,,,"$13,376,880 "
124,Robert Williams,POR,"$13,285,713 ",,,,,,"$13,285,713 "
125,Zaccharie Risacher,ATL,"$13,197,720 ","$13,826,040 ","$17,434,637 ",,,,"$13,197,720 "
126,Cole Anthony,MEM,"$13,100,000 ",,,,,,"$13,100,000 "
127,Mitchell Robinson,NYK,"$12,954,546 ",,,,,,"$12,954,546 "
128,Coby White,CHI,"$12,888,889 ",,,,,,"$12,888,889 "
129,Brandon Clarke,MEM,"$12,500,000 ","$12,500,000 ",,,,,"$25,000,000 "
130,Dylan Harper,SAS,"$12,370,320 ","$12,989,040 ","$13,607,760 ","$17,172,994 ",,,"$25,359,360 "
131,Isaiah Joe,OKC,"$12,362,338 ","$11,323,006 ","$11,323,006 ",,,,"$23,685,344 "
132,Jabari Smith Jr.,HOU,"$12,350,392 ",,,,,,"$12,350,392 "
133,Donte DiVincenzo,MIN,"$11,990,000 ","$12,535,000 ",,,,,"$24,525,000 "
134,Brandon Miller,CHO,"$11,968,800 ","$15,104,626 ",,,,,"$11,968,800 "
135,Alex Sarr,WAS,"$11,808,240 ","$12,370,680 ","$15,611,798 ",,,,"$11,808,240 "
136,Moses Moody,GSW,"$11,574,075 ","$12,500,000 ","$13,425,925 ",,,,"$37,500,000 "
137,Jarred Vanderbilt,LAL,"$11,571,429 ","$12,428,571 ","$13,285,714 ",,,,"$24,000,000 "
138,Matisse Thybulle,POR,"$11,550,000 ",,,,,,"$11,550,000 "
139,Gabe Vincent,LAL,"$11,500,000 ",,,,,,"$11,500,000 "
140,Keegan Murray,SAC,"$11,144,093 ",,,,,,"$11,144,093 "
141,VJ Edgecombe,PHI,"$11,108,880 ","$11,663,880 ","$12,219,720 ","$15,445,727 ",,,"$22,772,760 "
142,Luke Kornet,SAS,"$11,000,000 ","$10,450,000 ","$9,900,000 ","$9,350,000 ",,,"$24,000,000 "
143,Isaac Okoro,CHI,"$11,000,000 ","$11,814,814 ",,,,,"$22,814,814 "
144,Aaron Nesmith,IND,"$11,000,000 ","$11,000,000 ",,,,,"$22,000,000 "
145,Maxi Kleber,LAL,"$11,000,000 ",,,,,,"$11,000,000 "
146,Wendell Carter Jr.,ORL,"$10,850,000 ","$18,102,000 ","$19,550,160 ","$20,998,320 ",,,"$48,502,160 "
147,Mike Conley,MIN,"$10,774,038 ",,,,,,"$10,774,038 "
148,Scoot Henderson,POR,"$10,748,040 ","$13,585,523 ",,,,,"$10,748,040 "
149,Reed Sheppard,HOU,"$10,603,560 ","$11,108,880 ","$14,041,625 ",,,,"$10,603,560 "
150,Jonas Valančiūnas,DEN,"$10,395,000 ","$10,000,000 ",,,,,"$10,395,000 "
151,T.J. McConnell,IND,"$10,200,000 ","$11,000,000 ","$11,800,000 ","$11,800,000 ",,,"$33,000,000 "
152,Royce O'Neale,PHO,"$10,125,000 ","$10,875,000 ","$11,625,000 ",,,,"$32,625,000 "
153,Jaden Ivey,DET,"$10,107,163 ",,,,,,"$10,107,163 "
154,Sam Hauser,BOS,"$10,044,644 ","$10,848,215 ","$11,651,785 ","$12,455,356 ",,,"$45,000,000 "
155,Kon Knueppel,CHO,"$10,015,680 ","$10,516,560 ","$11,017,560 ","$13,937,214 ",,,"$20,532,240 "
156,Derrick Jones Jr.,LAC,"$10,000,000 ","$10,476,190 ",,,,,"$20,476,190 "
157,Lonzo Ball,CLE,"$10,000,000 ","$10,000,000 ",,,,,"$10,000,000 "
158,Duncan Robinson,MIA,"$9,888,000 ",,,,,,"$9,888,000 "
159,Amen Thompson,HOU,"$9,690,600 ","$12,258,609 ",,,,,"$9,690,600 "
160,Aaron Wiggins,OKC,"$9,672,897 ","$8,831,776 ","$7,990,655 ","$7,990,655 ",,,"$34,485,983 "
161,Caleb Martin,DAL,"$9,594,044 ","$10,001,493 ","$9,371,351 ",,,,"$19,595,537 "
162,Stephon Castle,SAS,"$9,560,520 ","$10,015,920 ","$12,670,139 ",,,,"$9,560,520 "
163,Pat Connaughton,CHO,"$9,423,869 ",,,,,,"$9,423,869 "
164,Buddy Hield,GSW,"$9,219,512 ","$9,658,536 ","$10,097,560 ",,,,"$18,878,048 "
165,Kyle Anderson,UTA,"$9,219,512 ","$9,658,536 ",,,,,"$9,219,512 "
166,Bennedict Mathurin,IND,"$9,187,573 ",,,,,,"$9,187,573 "
167,Ace Bailey,UTA,"$9,069,840 ","$9,523,080 ","$9,976,560 ","$12,640,302 ",,,"$18,592,920 "
168,Naji Marshall,DAL,"$9,000,000 ","$9,428,571 ",,,,,"$18,428,571 "
169,Jalen Smith,CHI,"$9,000,000 ","$9,428,571 ",,,,,"$18,428,571 "
170,Ausar Thompson,DET,"$8,775,000 ","$11,117,925 ",,,,,"$8,775,000 "
171,Ron Holland,DET,"$8,657,280 ","$9,069,600 ","$11,491,183 ",,,,"$8,657,280 "
172,Shaedon Sharpe,POR,"$8,399,983 ",,,,,,"$8,399,983 "
173,Kelly Oubre Jr.,PHI,"$8,382,150 ",,,,,,"$8,382,150 "
174,Goga Bitadze,ORL,"$8,333,333 ","$7,608,696 ",,,,,"$15,942,029 "
175,Simone Fontecchio,MIA,"$8,307,692 ",,,,,,"$8,307,692 "
176,Georges Niang,BOS,"$8,200,000 ",,,,,,"$8,200,000 "
177,Zeke Nnaji,DEN,"$8,177,778 ","$7,466,667 ","$7,466,667 ",,,,"$15,644,445 "
178,Vasilije Micić,MIL,"$8,109,150 ",,,,,,"$8,109,150 "
179,KJ Martin,UTA,"$8,025,000 ",,,,,,
180,Jock Landale,HOU,"$8,000,000 ",,,,,,"$8,000,000 "
181,Anthony Black,ORL,"$7,970,280 ","$10,106,316 ",,,,,"$7,970,280 "
182,Tidjane Salaün,CHO,"$7,863,240 ","$8,237,880 ","$10,445,633 ",,,,"$7,863,240 "
183,Max Christie,DAL,"$7,714,286 ","$8,285,714 ","$8,857,143 ",,,,"$16,000,000 "
184,Dyson Daniels,ATL,"$7,707,709 ",,,,,,"$7,707,709 "
185,Jeremiah Fears,NOP,"$7,520,040 ","$7,896,240 ","$8,271,960 ","$10,505,389 ",,,"$15,416,280 "
186,Ayo Dosunmu,CHI,"$7,518,518 ",,,,,,"$7,518,518 "
187,Bilal Coulibaly,WAS,"$7,275,600 ","$9,240,012 ",,,,,"$7,275,600 "
188,Payton Pritchard,BOS,"$7,232,143 ","$7,767,857 ","$8,303,571 ",,,,"$23,303,571 "
189,Donovan Clingan,POR,"$7,178,400 ","$7,519,920 ","$9,550,298 ",,,,"$7,178,400 "
190,Kenrich Williams,OKC,"$7,163,000 ","$7,163,000 ",,,,,"$7,163,000 "
191,Jeremy Sochan,SAS,"$7,096,231 ",,,,,,"$7,096,231 "
192,Egor Demin,BRK,"$6,889,200 ","$7,233,720 ","$7,578,240 ","$9,639,522 ",,,"$14,122,920 "
193,Jevon Carter,CHI,"$6,809,524 ",,,,,,"$6,809,524 "
194,Ousmane Dieng,OKC,"$6,670,882 ",,,,,,"$6,670,882 "
195,Jarace Walker,IND,"$6,665,520 ","$8,478,542 ",,,,,"$6,665,520 "
196,Dean Wade,CLE,"$6,623,456 ",,,,,,
197,Jalen Williams,OKC,"$6,580,997 ",,,,,,"$6,580,997 "
198,Rob Dillingham,MIN,"$6,576,120 ","$6,889,320 ","$8,763,216 ",,,,"$6,576,120 "
199,Jalen Duren,DET,"$6,483,144 ",,,,,,"$6,483,144 "
200,Ochai Agbaji,TOR,"$6,383,525 ",,,,,,"$6,383,525 "
201,Collin Murray-Boyles,TOR,"$6,332,520 ","$6,649,560 ","$6,966,000 ","$8,874,684 ",,,"$12,982,080 "
202,Mark Williams,PHO,"$6,276,531 ",,,,,,"$6,276,531 "
203,John Konchar,MEM,"$6,165,000 ","$6,165,000 ",,,,,"$12,330,000 "
204,Taylor Hendricks,UTA,"$6,127,080 ","$7,805,900 ",,,,,"$6,127,080 "
205,Saddiq Bey,NOP,"$6,118,644 ","$6,440,678 ",,,,,"$12,559,322 "
206,Zach Edey,MEM,"$6,045,000 ","$6,332,760 ","$8,067,937 ",,,,"$6,045,000 "
207,Khaman Maluach,PHO,"$6,016,080 ","$6,316,680 ","$6,617,160 ","$8,436,880 ",,,"$12,332,760 "
208,Jaden Hardy,DAL,"$6,000,000 ","$6,000,000 ","$6,000,000 ",,,,"$12,000,000 "
209,Cason Wallace,OKC,"$5,820,240 ","$7,420,806 ",,,,,"$5,820,240 "
210,Cody Williams,UTA,"$5,742,480 ","$6,015,600 ","$7,669,890 ",,,,"$5,742,480 "
211,Cedric Coward,MEM,"$5,715,120 ","$6,001,080 ","$6,286,920 ","$8,342,743 ",,,"$11,716,200 "
212,Tari Eason,HOU,"$5,675,766 ",,,,,,"$5,675,766 "
213,Haywood Highsmith,MIA,"$5,616,000 ",,,,,,"$5,616,000 "
214,Jett Howard,ORL,"$5,529,720 ","$7,337,939 ",,,,,"$5,529,720 "
215,Matas Buzelis,CHI,"$5,455,560 ","$5,715,360 ","$7,584,283 ",,,,"$5,455,560 "
216,Noa Essengue,CHI,"$5,429,520 ","$5,701,200 ","$5,972,760 ","$8,230,464 ",,,"$11,130,720 "
217,Dario Šarić,SAC,"$5,426,400 ",,,,,,"$5,426,400 "
218,Kris Dunn,LAC,"$5,426,400 ","$5,684,800 ",,,,,"$5,426,400 "
219,Dalen Terry,CHI,"$5,399,118 ",,,,,,"$5,399,118 "
220,Dereck Lively II,DAL,"$5,253,360 ","$7,239,131 ",,,,,"$5,253,360 "
221,Nikola Topić,OKC,"$5,182,920 ","$5,429,760 ","$7,482,210 ",,,,"$5,182,920 "
222,Derik Queen,NOP,"$5,157,960 ","$5,416,080 ","$5,673,840 ","$8,107,918 ",,,"$10,574,040 "
223,Andre Drummond,PHI,"$5,000,000 ",,,,,,"$5,000,000 "
224,Moritz Wagner,ORL,"$5,000,000 ",,,,,,"$5,000,000 "
225,Nick Richards,PHO,"$5,000,000 ",,,,,,
226,Gradey Dick,TOR,"$4,990,560 ","$7,131,511 ",,,,,"$4,990,560 "
227,Malaki Branham,WAS,"$4,962,033 ",,,,,,"$4,962,033 "
228,Devin Carter,SAC,"$4,923,720 ","$5,158,080 ","$7,370,897 ",,,,"$4,923,720 "
229,Christian Braun,DEN,"$4,921,797 ",,,,,,"$4,921,797 "
230,Carter Bryant,SAS,"$4,900,320 ","$5,145,360 ","$5,390,640 ","$7,983,539 ",,,"$10,045,680 "
231,Walker Kessler,UTA,"$4,878,938 ",,,,,,"$4,878,938 "
232,Jordan Hawkins,NOP,"$4,741,320 ","$7,021,895 ",,,,,"$4,741,320 "
233,Blake Wesley,WAS,"$4,726,328 ",,,,,,"$4,726,328 "
234,Bub Carrington,WAS,"$4,677,600 ","$4,900,560 ","$7,257,730 ",,,,"$4,677,600 "
235,Thomas Sorber,OKC,"$4,655,040 ","$4,887,720 ","$5,120,400 ","$7,849,573 ",,,"$9,542,760 "
236,Kobe Bufkin,ATL,"$4,503,720 ","$6,904,203 ",,,,,"$4,503,720 "
237,Jose Alvarado,NOP,"$4,500,000 ","$4,500,000 ",,,,,"$4,500,000 "
238,Nikola Jović,MIA,"$4,445,417 ",,,,,,"$4,445,417 "
239,Kel'el Ware,MIA,"$4,443,360 ","$4,654,920 ","$7,135,992 ",,,,"$4,443,360 "
240,Yang Hansen,POR,"$4,422,360 ","$4,643,520 ","$4,864,920 ","$7,462,788 ",,,"$9,065,880 "
241,Peyton Watson,DEN,"$4,356,476 ",,,,,,"$4,356,476 "
242,Miles McBride,NYK,"$4,333,333 ","$3,956,523 ",,,,,"$8,289,856 "
243,Keyonte George,UTA,"$4,278,960 ","$6,563,925 ",,,,,"$4,278,960 "
244,Jared McCain,PHI,"$4,221,360 ","$4,422,600 ","$6,784,268 ",,,,"$4,221,360 "
245,Joan Beringer,MIN,"$4,201,080 ","$4,411,200 ","$4,621,200 ","$7,098,163 ",,,"$8,612,280 "
246,Kevin Love,UTA,"$4,150,000 ",,,,,,"$4,150,000 "
247,Dalton Knecht,LAL,"$4,010,160 ","$4,201,080 ","$6,452,860 ",,,,"$4,010,160 "
248,Dwight Powell,DAL,"$4,000,000 ",,,,,,"$4,000,000 "
249,Walter Clayton,UTA,"$3,991,320 ","$4,190,520 ","$4,390,320 ","$6,752,312 ",,,"$8,181,840 "
250,Jaime Jaquez Jr.,MIA,"$3,861,600 ","$5,939,141 ",,,,,"$3,861,600 "
251,Nolan Traoré,BRK,"$3,811,560 ","$4,002,000 ","$4,193,040 ","$6,457,282 ",,,"$7,813,560 "
252,Tristan Da Silva,ORL,"$3,809,520 ","$3,991,200 ","$6,138,466 ",,,,"$3,809,520 "
253,Brandin Podziemski,GSW,"$3,687,960 ","$5,679,459 ",,,,,"$3,687,960 "
254,Svi Mykhailiuk,UTA,"$3,675,000 ","$3,850,000 ","$4,025,000 ",,,,
255,Kasparas Jakucionis,MIA,"$3,658,800 ","$3,841,680 ","$4,024,440 ","$6,205,687 ",,,"$7,500,480 "
256,Ja'Kobe Walter,TOR,"$3,638,160 ","$3,811,800 ","$5,870,172 ",,,,"$3,638,160 "
257,Cam Whitmore,WAS,"$3,539,760 ","$5,458,310 ",,,,,"$3,539,760 "
258,Will Riley,WAS,"$3,512,520 ","$3,688,320 ","$3,864,000 ","$6,155,352 ",,,"$7,200,840 "
259,Jaylon Tyson,CLE,"$3,492,480 ","$3,658,560 ","$5,641,500 ",,,,"$3,492,480 "
260,P.J. Tucker,NYK,"$3,468,960 ",,,,,,
261,Russell Westbrook,DEN,"$3,468,960 ",,,,,,
262,Noah Clowney,BRK,"$3,398,640 ","$5,414,034 ",,,,,"$3,398,640 "
263,Drake Powell,BRK,"$3,372,240 ","$3,540,600 ","$3,709,320 ","$6,101,832 ",,,"$6,912,840 "
264,Yves Missi,NOP,"$3,353,040 ","$3,512,760 ","$5,595,827 ",,,,"$3,353,040 "
265,Dariq Whitehead,BRK,"$3,262,560 ","$5,366,912 ",,,,,"$3,262,560 "
266,Asa Newell,ATL,"$3,237,480 ","$3,399,480 ","$3,560,880 ","$6,042,814 ",,,"$6,636,960 "
267,DaRon Holmes,DEN,"$3,218,760 ","$3,372,120 ","$5,547,138 ",,,,"$3,218,760 "
268,Elfrid Payton,NOP,"$3,153,598 ",,,,,,
269,Kris Murray,POR,"$3,132,000 ","$5,315,004 ",,,,,"$3,132,000 "
270,Nique Clifford,SAC,"$3,108,120 ","$3,263,400 ","$3,418,800 ","$5,979,481 ",,,"$6,371,520 "
271,Nassir Little,PHO,"$3,107,143 ","$3,107,143 ","$3,107,143 ","$3,107,143 ",,,"$12,428,572 "
272,AJ Johnson,WAS,"$3,090,480 ","$3,237,120 ","$5,493,394 ",,,,"$3,090,480 "
273,Olivier-Maxence Prosper,DAL,"$3,007,080 ","$5,259,383 ",,,,,"$3,007,080 "
