Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
1,Stephen Curry,GSW,"$59,606,817 ","$62,587,158 ",,,,,"$122,193,975 "
2,Joel Embiid,PHI,"$55,224,526 ","$57,985,752 ","$62,624,612 ","$67,263,472 ",,,"$175,834,890 "
3,Nikola Jokić,DEN,"$55,224,526 ","$59,033,114 ","$62,841,702 ",,,,"$114,257,640 "
4,Kevin Durant,HOU,"$54,708,609 ",,,,,,"$54,708,609 "
5,Jayson Tatum,BOS,"$54,126,450 ","$58,456,566 ","$62,786,682 ","$67,116,798 ","$71,446,914 ",,"$242,486,496 "
6,Giannis Antetokounmpo,MIL,"$54,126,450 ","$58,456,566 ","$62,786,682 ",,,,"$112,583,016 "
7,Anthony Davis,DAL,"$54,126,450 ","$58,456,566 ","$62,786,682 ",,,,"$112,583,016 "
8,Jimmy Butler,GSW,"$54,126,450 ","$56,832,773 ",,,,,"$110,959,223 "
9,Damian Lillard,MIL,"$54,126,450 ",,,,,,"$54,126,450 "
10,Bradley Beal,PHO,"$53,666,270 ",,,,,,"$53,666,270 "
11,Jaylen Brown,BOS,"$53,142,264 ","$57,078,728 ","$61,015,192 ","$64,951,656 ",,,"$236,187,840 "
12,Devin Booker,PHO,"$53,142,264 ","$57,078,728 ","$61,015,192 ",,,,"$171,236,184 "
13,Karl-Anthony Towns,NYK,"$53,142,264 ","$57,078,728 ","$61,015,192 ",,,,"$110,220,992 "
14,LeBron James,LAL,"$52,627,153 ",,,,,,"$52,627,153 "
15,Paul George,PHI,"$51,666,090 ","$54,126,380 ","$56,586,670 ",,,,"$105,792,470 "
16,Kawhi Leonard,LAC,"$50,000,000 ","$50,300,000 ",,,,,"$100,300,000 "
17,Zach LaVine,SAC,"$47,499,660 ","$48,967,380 ",,,,,"$47,499,660 "
18,Evan Mobley,CLE,"$46,394,100 ","$50,105,628 ","$53,817,156 ","$57,528,684 ","$51,033,510 ",,"$258,879,078 "
19,Jamal Murray,DEN,"$46,394,100 ","$50,105,628 ","$53,817,156 ","$57,528,684 ",,,"$207,845,568 "
20,Lauri Markkanen,UTA,"$46,394,100 ","$46,113,154 ","$49,824,681 ","$53,536,209 ",,,"$195,868,144 "
21,Donovan Mitchell,CLE,"$46,394,100 ","$50,105,628 ","$53,817,156 ",,,,"$96,499,728 "
22,Luka Dončić,LAL,"$45,999,660 ","$48,967,380 ",,,,,"$45,999,660 "
23,Trae Young,ATL,"$45,999,660 ","$48,967,380 ",,,,,"$45,999,660 "
24,Anthony Edwards,MIN,"$45,550,512 ","$48,924,624 ","$52,298,736 ","$55,672,848 ",,,"$202,446,720 "
25,Tyrese Haliburton,IND,"$45,550,512 ","$48,924,624 ","$52,298,736 ","$55,672,848 ",,,"$202,446,720 "
26,Pascal Siakam,IND,"$45,550,512 ","$48,924,624 ","$52,298,736 ",,,,"$146,773,872 "
27,Domantas Sabonis,SAC,"$43,636,000 ","$46,772,000 ","$49,908,000 ",,,,"$140,316,000 "
28,OG Anunoby,NYK,"$39,568,966 ","$42,500,000 ","$45,431,034 ","$48,362,068 ",,,"$127,500,000 "
29,Zion Williamson,NOP,"$39,446,090 ","$42,166,510 ","$44,886,930 ",,,,"$126,499,530 "
30,Ja Morant,MEM,"$39,446,090 ","$42,166,510 ","$44,886,930 ",,,,"$126,499,530 "
31,Darius Garland,CLE,"$39,446,090 ","$42,166,510 ","$44,886,930 ",,,,"$126,499,530 "
32,Scottie Barnes,TOR,"$38,661,750 ","$41,754,690 ","$44,847,630 ","$47,940,570 ","$51,033,510 ",,"$224,238,150 "
33,Franz Wagner,ORL,"$38,661,750 ","$41,754,690 ","$44,847,630 ","$47,940,570 ","$51,033,510 ",,"$224,238,150 "
34,Cade Cunningham,DET,"$38,661,750 ","$41,754,690 ","$44,847,630 ","$47,940,570 ","$51,033,510 ",,"$224,238,150 "
35,Shai Gilgeous-Alexander,OKC,"$38,333,050 ","$40,806,150 ",,,,,"$79,139,200 "
36,Michael Porter Jr.,BRK,"$38,333,050 ","$40,806,150 ",,,,,"$50,333,050 "
37,Brandon Ingram,TOR,"$38,095,238 ","$40,000,000 ","$41,904,762 ",,,,"$78,095,238 "
38,Tyrese Maxey,PHI,"$37,958,760 ","$40,770,520 ","$43,582,280 ","$46,394,040 ",,,"$168,705,600 "
39,LaMelo Ball,CHO,"$37,958,760 ","$40,770,520 ","$43,582,280 ","$46,394,040 ",,,"$168,705,600 "
40,Bam Adebayo,MIA,"$37,096,620 ","$48,713,700 ","$52,610,796 ","$56,507,892 ",,,"$138,421,116 "
41,De'Aaron Fox,SAS,"$37,096,620 ",,,,,,"$37,096,620 "
42,Desmond Bane,ORL,"$36,725,670 ","$39,446,090 ","$42,166,510 ","$44,886,930 ",,,"$163,225,200 "
43,Deandre Ayton,POR,"$35,550,814 ",,,,,,"$35,550,814 "
44,Jalen Suggs,ORL,"$35,000,000 ","$32,400,000 ","$29,600,000 ","$26,800,000 ","$26,700,000 ",,"$123,800,000 "
45,Rudy Gobert,MIN,"$35,000,000 ","$36,500,000 ","$38,000,000 ",,,,"$71,500,000 "
46,Jaren Jackson Jr.,MEM,"$35,000,000 ",,,,,,"$35,000,000 "
47,Jalen Brunson,NYK,"$34,944,001 ","$37,739,521 ","$40,535,041 ","$43,330,561 ",,,"$113,218,563 "
48,Alperen Şengün,HOU,"$33,944,954 ","$35,642,202 ","$37,339,450 ","$39,036,697 ","$39,036,697 ",,"$145,963,303 "
49,Jalen Green,PHO,"$33,333,333 ","$36,000,000 ","$36,000,000 ",,,,"$69,333,333 "
50,Khris Middleton,WAS,"$33,296,296 ",,,,,,"$33,296,296 "
51,Immanuel Quickley,TOR,"$32,500,000 ","$32,500,000 ","$32,500,000 ","$32,500,000 ",,,"$130,000,000 "
52,Jrue Holiday,POR,"$32,400,000 ","$34,800,000 ","$37,200,000 ",,,,"$67,200,000 "
53,Jerami Grant,POR,"$32,000,001 ","$34,206,898 ","$36,413,790 ",,,,"$66,206,899 "
54,Jordan Poole,NOP,"$31,848,215 ","$34,044,642 ",,,,,"$65,892,857 "
55,Dejounte Murray,NOP,"$31,557,103 ","$33,597,072 ","$31,619,506 ",,,,"$65,154,175 "
56,Tyler Herro,MIA,"$31,000,000 ","$33,000,000 ",,,,,"$64,000,000 "
57,Kristaps Porziņģis,ATL,"$30,731,707 ",,,,,,"$30,731,707 "
58,CJ McCollum,WAS,"$30,666,666 ",,,,,,"$30,666,666 "
59,Jalen Johnson,ATL,"$30,000,000 ","$30,000,000 ","$30,000,000 ","$30,000,000 ","$30,000,000 ",,"$150,000,000 "
60,Isaiah Hartenstein,OKC,"$28,500,000 ","$28,500,000 ",,,,,"$28,500,000 "
61,Andrew Wiggins,MIA,"$28,223,215 ","$30,169,644 ",,,,,"$28,223,215 "
62,Derrick White,BOS,"$28,100,000 ","$30,348,000 ","$32,596,000 ","$34,844,000 ",,,"$91,044,000 "
63,RJ Barrett,TOR,"$27,705,357 ","$29,616,071 ",,,,,"$57,321,428 "
64,Anfernee Simons,BOS,"$27,678,571 ",,,,,,"$27,678,571 "
65,Devin Vassell,SAS,"$27,000,000 ","$27,000,000 ","$24,652,174 ","$27,000,000 ",,,"$105,652,174 "
66,Terry Rozier,MIA,"$26,643,031 ",,,,,,"$26,643,031 "
67,Tobias Harris,DET,"$26,634,146 ",,,,,,"$26,634,146 "
68,John Collins,LAC,"$26,580,000 ",,,,,,"$26,580,000 "
69,Draymond Green,GSW,"$25,892,857 ","$27,678,571 ",,,,,"$53,571,428 "
