company,fuel,number,ob fuel,wl fuel,gap fuel,ob co2,wl co2,gap co2
JAGUAR LAND ROVER LIMITED,PETROL,4918,11.91,9.54,2.38,271.41,217.28,54.13
FERRARI,PETROL/ELECTRIC,91,20.06,6.88,13.18,457.03,156.78,300.25
KIA,DIESEL,37,8.03,6.66,1.38,211.38,175.16,36.22
MERCEDES-BENZ AG,DIESEL,49124,7.06,6.01,1.05,185.87,158.16,27.72
ALFA ROMEO,PETROL,396,11.59,8.6,2.99,264,195.99,68.01
MERCEDES-BENZ AG,PETROL/ELECTRIC,23506,5.8,1.49,4.31,132.12,33.86,98.26
VOLVO,PETROL/ELECTRIC,24121,6.62,2.26,4.35,150.71,51.58,99.13
KIA SLOVAKIA,PETROL/ELECTRIC,82,3.87,1.48,2.39,88.13,33.72,54.41
AUTOMOBILES PEUGEOT,PETROL/ELECTRIC,1434,5.4,1.35,4.05,122.95,30.66,92.29
CHRYSLER,PETROL/ELECTRIC,1120,6.72,2.49,4.23,153.05,56.74,96.31
OPEL AUTOMOBILE,DIESEL,994,6,4.92,1.07,157.74,129.56,28.18
HYUNDAI CZECH,PETROL/ELECTRIC,59,5.53,1.36,4.17,126.03,31,95.03
DACIA,PETROL,14415,7.16,5.55,1.61,163.04,126.46,36.57
KIA,PETROL/ELECTRIC,75,5,1.59,3.42,114.01,36.13,77.88
SKODA,PETROL/ELECTRIC,857,5.04,1.13,3.91,114.86,25.8,89.07
TOYOTA,PETROL/ELECTRIC,40,4.09,0.97,3.13,93.21,22,71.21
HYUNDAI ASSAN,PETROL,527,6.09,5.28,0.81,138.69,120.34,18.35
AUDI HUNGARIA,DIESEL,10,7.15,5.71,1.43,188.03,150.3,37.73
SUZUKI MOTOR CORPORATION,PETROL,2231,5.4,4.94,0.47,123.06,112.46,10.61
SAIC MOTOR CORPORATION,PETROL/ELECTRIC,29,6.21,1.8,4.41,141.54,41,100.54
OPEL AUTOMOBILE,PETROL/ELECTRIC,317,5.47,1.36,4.12,124.71,30.92,93.79
MERCEDES AMG,PETROL,95,18.53,12.74,5.79,422.06,290.11,131.95
